SESU_ID,side,eligible_cells,events,cell_years,group_years,boundary_center_km,outcome,design_membership,median_abs_smd,max_abs_smd,maximum_overlap_with_another_center
1,outside,12864,497,278613,22,25,tree_cover_loss,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,inside,6866,160,150249,22,25,tree_cover_loss,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,outside,5810,107,127343,22,25,tree_cover_loss,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
1,inside,12283,28,270026,22,25,agriculture,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
1,outside,12864,326,280213,22,25,agriculture,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,inside,6866,7,150992,22,25,agriculture,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,outside,5810,1,127807,22,25,agriculture,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
1,inside,12721,115103,279862,22,30,fire,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,outside,13150,122710,289300,22,30,fire,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,inside,5895,64039,129690,22,30,fire,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,outside,5650,55567,124300,22,30,fire,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,inside,12721,322,277129,22,30,tree_cover_loss,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,outside,13150,708,281912,22,30,tree_cover_loss,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,inside,5895,134,128958,22,30,tree_cover_loss,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,outside,5650,79,124017,22,30,tree_cover_loss,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,inside,12721,84,279370,22,30,agriculture,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,outside,13150,624,283615,22,30,agriculture,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,inside,5895,3,129656,22,30,agriculture,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
3,outside,5650,0,124300,22,30,agriculture,dense;round_number,0.0376418092810827,0.204265792799228,0.596075519728468
1,inside,12836,109251,282392,22,35,fire,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
1,outside,13632,142001,299904,22,35,fire,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,inside,5798,55056,127556,22,35,fire,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,outside,5394,61665,118668,22,35,fire,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
