cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
8882,1,65,outside,2015,526250,9128250,FALSE,2015,outside,65,FALSE,TRUE
9055,1,88.0525390625,outside,2016,389250,9127750,FALSE,2016,outside,88.0525390625,FALSE,TRUE
9231,1,64.855609375,outside,2018,477250,9127750,FALSE,2018,outside,64.855609375,FALSE,TRUE
9232,1,64.93843359375,outside,2013,477750,9127750,FALSE,2013,outside,64.93843359375,FALSE,TRUE
9233,1,65.02499609375,outside,2015,478250,9127750,FALSE,2015,outside,65.02499609375,FALSE,TRUE
9235,1,65.20927734375,outside,2021,479250,9127750,FALSE,2021,outside,65.20927734375,FALSE,TRUE
9237,1,65.11528125,outside,2020,480250,9127750,FALSE,2020,outside,65.11528125,FALSE,TRUE
9238,1,65.02499609375,outside,2018,480750,9127750,FALSE,2018,outside,65.02499609375,FALSE,TRUE
9257,1,64.0312421875,outside,2019,490250,9127750,FALSE,2019,outside,64.0312421875,FALSE,TRUE
9258,1,64.01757421875,outside,2019,490750,9127750,FALSE,2019,outside,64.01757421875,FALSE,TRUE
9259,1,64.0078125,outside,2013,491250,9127750,FALSE,2013,outside,64.0078125,FALSE,TRUE
9260,1,64.001953125,outside,2005,491750,9127750,FALSE,2005,outside,64.001953125,FALSE,TRUE
9261,1,64,outside,2016,492250,9127750,FALSE,2016,outside,64,FALSE,TRUE
9265,1,64.01757421875,outside,2019,494250,9127750,FALSE,2019,outside,64.01757421875,FALSE,TRUE
9308,1,62.74153515625,outside,2014,515750,9127750,FALSE,2014,outside,62.74153515625,FALSE,TRUE
9320,1,63.5491953125,outside,2021,521750,9127750,FALSE,2021,outside,63.5491953125,FALSE,TRUE
9321,1,63.64157421875,outside,2015,522250,9127750,FALSE,2015,outside,63.64157421875,FALSE,TRUE
9322,1,63.7377421875,outside,2008,522750,9127750,FALSE,2008,outside,63.7377421875,FALSE,TRUE
9323,1,63.83768359375,outside,2022,523250,9127750,FALSE,2022,outside,63.83768359375,FALSE,TRUE
9328,1,64.39332421875,outside,2018,525750,9127750,FALSE,2018,outside,64.39332421875,FALSE,TRUE
9330,1,64.64131640625,outside,2022,526750,9127750,FALSE,2022,outside,64.64131640625,FALSE,TRUE
9643,1,63.570828125,outside,2018,459750,9127250,FALSE,2018,outside,63.570828125,FALSE,TRUE
9678,1,64.3622578125,outside,2019,477250,9127250,FALSE,2019,outside,64.3622578125,FALSE,TRUE
9679,1,64.44571484375,outside,2017,477750,9127250,FALSE,2017,outside,64.44571484375,FALSE,TRUE
9680,1,64.5329375,outside,2018,478250,9127250,FALSE,2018,outside,64.5329375,FALSE,TRUE
9681,1,64.62391015625,outside,2021,478750,9127250,FALSE,2021,outside,64.62391015625,FALSE,TRUE
9682,1,64.71862109375,outside,2020,479250,9127250,FALSE,2020,outside,64.71862109375,FALSE,TRUE
9683,1,64.71862109375,outside,2022,479750,9127250,FALSE,2022,outside,64.71862109375,FALSE,TRUE
9688,1,64.282578125,outside,2022,482250,9127250,FALSE,2022,outside,64.282578125,FALSE,TRUE
9711,1,63.507875,outside,2022,493750,9127250,FALSE,2022,outside,63.507875,FALSE,TRUE
9764,1,62.8012734375,outside,2022,520250,9127250,FALSE,2022,outside,62.8012734375,FALSE,TRUE
9765,1,62.882828125,outside,2021,520750,9127250,FALSE,2021,outside,62.882828125,FALSE,TRUE
9768,1,63.15061328125,outside,2006,522250,9127250,FALSE,2006,outside,63.15061328125,FALSE,TRUE
9769,1,63.24753125,outside,2008,522750,9127250,FALSE,2008,outside,63.24753125,FALSE,TRUE
9772,1,63.56099609375,outside,2022,524250,9127250,FALSE,2022,outside,63.56099609375,FALSE,TRUE
9773,1,63.6729921875,outside,2015,524750,9127250,FALSE,2015,outside,63.6729921875,FALSE,TRUE
9775,1,63.90813671875,outside,2008,525750,9127250,FALSE,2008,outside,63.90813671875,FALSE,TRUE
9776,1,64.0312421875,outside,2008,526250,9127250,FALSE,2008,outside,64.0312421875,FALSE,TRUE
9777,1,64.1580078125,outside,2008,526750,9127250,FALSE,2008,outside,64.1580078125,FALSE,TRUE
9906,1,103.5012109375,outside,2019,367750,9126750,FALSE,2019,outside,103.5012109375,FALSE,TRUE
10087,1,62.89077734375,outside,2022,458250,9126750,FALSE,2022,outside,62.89077734375,FALSE,TRUE
10125,1,63.8690078125,outside,2022,477250,9126750,FALSE,2022,outside,63.8690078125,FALSE,TRUE
10126,1,63.953109375,outside,2018,477750,9126750,FALSE,2018,outside,63.953109375,FALSE,TRUE
10127,1,64.04100390625,outside,2018,478250,9126750,FALSE,2018,outside,64.04100390625,FALSE,TRUE
10128,1,64.13267578125,outside,2022,478750,9126750,FALSE,2022,outside,64.13267578125,FALSE,TRUE
10129,1,64.228109375,outside,2018,479250,9126750,FALSE,2018,outside,64.228109375,FALSE,TRUE
10130,1,64.228109375,outside,2018,479750,9126750,FALSE,2018,outside,64.228109375,FALSE,TRUE
10131,1,64.13267578125,outside,2022,480250,9126750,FALSE,2022,outside,64.13267578125,FALSE,TRUE
10155,1,63,outside,2019,492250,9126750,FALSE,2019,outside,63,FALSE,TRUE
